date,variables,data
2022-10-08T22:00:00Z,temperature,26.52
2022-10-08T22:00:00Z,ph,8.06110275395326
2022-10-08T22:30:00Z,temperature,26.52
2022-10-08T22:30:00Z,ph,8.06137468846591
2022-10-08T23:00:00Z,temperature,26.5
2022-10-08T23:00:00Z,ph,8.05981381108909
2022-10-08T23:30:00Z,temperature,26.52
2022-10-08T23:30:00Z,ph,8.0570237362635
2022-10-09T00:00:00Z,temperature,26.52
2022-10-09T00:00:00Z,ph,8.0570237362635
2022-10-09T00:30:00Z,temperature,26.52
2022-10-09T00:30:00Z,ph,8.0553921291876
2022-10-09T01:00:00Z,temperature,26.52
2022-10-09T01:00:00Z,ph,8.0548482601623
2022-10-09T01:30:00Z,temperature,26.52
2022-10-09T01:30:00Z,ph,8.05321665308639
2022-10-09T02:00:00Z,temperature,26.48
2022-10-09T02:00:00Z,ph,8.0533572506906
2022-10-09T02:30:00Z,temperature,26.43
2022-10-09T02:30:00Z,ph,8.05407708290141
2022-10-09T03:00:00Z,temperature,26.38
2022-10-09T03:00:00Z,ph,8.05479715542477
2022-10-09T03:30:00Z,temperature,26.43
2022-10-09T03:30:00Z,ph,8.05162893705956
2022-10-09T04:00:00Z,temperature,26.45
2022-10-09T04:00:00Z,ph,8.05019874697079
2022-10-09T04:30:00Z,temperature,26.43
2022-10-09T04:30:00Z,ph,8.04972482362701
2022-10-09T05:00:00Z,temperature,26.43
2022-10-09T05:00:00Z,ph,8.04945280742236
2022-10-09T05:30:00Z,temperature,26.4
2022-10-09T05:30:00Z,ph,8.0492858634027
2022-10-09T06:00:00Z,temperature,26.4
2022-10-09T06:00:00Z,ph,8.04846973306402
2022-10-09T06:30:00Z,temperature,26.43
2022-10-09T06:30:00Z,ph,8.0480927263991
2022-10-09T07:00:00Z,temperature,26.43
2022-10-09T07:00:00Z,ph,8.04727667778516
2022-10-09T07:30:00Z,temperature,26.4
2022-10-09T07:30:00Z,ph,8.04792564617157
2022-10-09T08:00:00Z,temperature,26.43
2022-10-09T08:00:00Z,ph,8.04346845092006
2022-10-09T08:30:00Z,temperature,26.4
2022-10-09T08:30:00Z,ph,8.04085251656973
2022-10-09T09:00:00Z,temperature,26.4
2022-10-09T09:00:00Z,ph,8.04629338549423
2022-10-09T09:30:00Z,temperature,26.43
2022-10-09T09:30:00Z,ph,8.04510054814796
2022-10-09T10:00:00Z,temperature,26.4
2022-10-09T10:00:00Z,ph,8.04656542894045
2022-10-09T10:30:00Z,temperature,26.4
2022-10-09T10:30:00Z,ph,8.04683747238668
