ASFIS species,2012,2013,2014,2015,2016,2017,2018,2019
Marine fishes nei-Osteichthyes,137 683,112 095,110 535,118 078,118 204,124 895,109 938,415 031
Gulf menhaden-Brevoortia patronus,500 162,440 709,385 022,539 198,618 563,461 189,529 231,336 221
Round sardinella-Sardinella aurita,42 344,46 299,50 698,79 851,123 377,126 766,126 400,126 400
American cupped oyster-Crassostrea virginica,77 900,53 866,57 930,55 041,44 313,78 961,49 631,47 723
Ark clams nei-Arca spp,12 687,15 000,17 384,29 073,29 076,29 970,29 970,29 970
Stromboid conchs nei-Strombus spp,36 855,36 610,30 691,34 388,28 774,35 273,34 856,28 308
Blue crab-Callinectes sapidus,43 997,40 570,44 361,50 781,53 616,54 628,56 689,25 937
Yellowfin tuna-Thunnus albacares,19 087,21 865,25 831,27 036,34487,29 310,30 966,24 503
Caribbean spiny lobster-Panulirus argus,31 102,28 468,28 298,31 358,32 410,30 204,28 325,24 311
Atlantic seabob-Xiphopenaeus kroyeri,36 073,34 243,25 203,25 322,30 147,31 319,31 625,22 497
Mexican four-eyed octopus-Octopus maya,12 629,8 806,15 403,23 441,25 722,26 020,28809,20 119
