Landed capture fisheries by country in the WIO region,,,
The weight are in metric tonnes per year per country,,,
Source:rfisheries package in R,,,
Originator: Food and Agriculture Organization,,,
name,year,catch,epoch
Kenya,1950,19154,1960s
Kenya,1951,21318,1960s
Kenya,1952,19126,1960s
Kenya,1953,20989,1960s
Kenya,1954,17541,1960s
Kenya,1955,19223,1960s
Kenya,1956,23297,1960s
Kenya,1957,28122,1960s
Kenya,1958,28819,1960s
Kenya,1959,22177,1960s
Kenya,1960,23395,1960s
Kenya,1961,24708,1960s
Kenya,1962,31862,1960s
Kenya,1963,34550,1960s
Kenya,1964,31696,1960s
Kenya,1965,37600,1960s
Kenya,1966,45902,1960s
Kenya,1967,53371,1960s
Kenya,1968,43771,1960s
Kenya,1969,39932,1960s
Kenya,1970,15698,1970s
Kenya,1971,18427,1970s
Kenya,1972,19009,1970s
Kenya,1973,19433,1970s
Kenya,1974,21796,1970s
Kenya,1975,23119,1970s
Kenya,1976,26585,1970s
Kenya,1977,30844,1970s
Kenya,1978,29177,1970s
Kenya,1979,35752,1970s
Kenya,1980,38898,1980s
Kenya,1981,45800,1980s
Kenya,1982,39907,1980s
Kenya,1983,38006,1980s
Kenya,1984,37976,1980s
Kenya,1985,49292,1980s
Kenya,1986,48736,1980s
Kenya,1987,47147,1980s
Kenya,1988,54447,1980s
Kenya,1989,53735,1980s
Kenya,1990,57914,1990s
Kenya,1991,63272,1990s
Kenya,1992,62450,1990s
Kenya,1993,45355,1990s
Kenya,1994,57319,1990s
Kenya,1995,57373,1990s
Kenya,1996,59523,1990s
Kenya,1997,66391,1990s
Kenya,1998,76128,1990s
Kenya,1999,52466,1990s
Kenya,2000,46796,2000s
Kenya,2001,55620,2000s
Kenya,2002,57987,2000s
Kenya,2003,49006,2000s
Kenya,2004,38868,2000s
Kenya,2005,72320,2000s
Kenya,2006,104144,2000s
Kenya,2007,96203,2000s
Kenya,2008,96777,2000s
Kenya,2009,45022,2000s
Kenya,2010,32239,2010s
Kenya,2011,45142,2010s
Kenya,2012,40282,2010s
Kenya,2013,34648,2010s
Kenya,2014,34263,2010s
Kenya,2015,33080,2010s
Tanzania,1950,273,1960s
Tanzania,1951,208,1960s
Tanzania,1952,304,1960s
Tanzania,1953,687,1960s
Tanzania,1954,544,1960s
Tanzania,1955,802,1960s
Tanzania,1956,5450,1960s
Tanzania,1957,4999,1960s
Tanzania,1958,4462,1960s
Tanzania,1959,4279,1960s
Tanzania,1960,4110,1960s
Tanzania,1961,2981,1960s
Tanzania,1962,5062,1960s
Tanzania,1963,2437,1960s
Tanzania,1964,13779,1960s
Tanzania,1965,15855,1960s
Tanzania,1966,15840,1960s
Tanzania,1967,17617,1960s
Tanzania,1968,16578,1960s
Tanzania,1969,20460,1960s
Tanzania,1970,8201,1970s
Tanzania,1971,4067,1970s
Tanzania,1972,33102,1970s
Tanzania,1973,74640,1970s
Tanzania,1974,58727,1970s
Tanzania,1975,20000,1970s
Tanzania,1976,40202,1970s
Tanzania,1977,39660,1970s
Tanzania,1978,27929,1970s
Tanzania,1979,47345,1970s
Tanzania,1980,17531,1980s
Tanzania,1981,16903,1980s
Tanzania,1982,34824,1980s
Tanzania,1983,37526,1980s
Tanzania,1984,26772,1980s
Tanzania,1985,24826,1980s
Tanzania,1986,25862,1980s
Tanzania,1987,11292,1980s
Tanzania,1988,39312,1980s
Tanzania,1989,27362,1980s
Tanzania,1990,15783,1990s
Tanzania,1991,30702,1990s
Tanzania,1992,66278,1990s
Tanzania,1993,84055,1990s
Tanzania,1994,107759,1990s
Tanzania,1995,80974,1990s
Tanzania,1996,93239,1990s
Tanzania,1997,63702,1990s
Tanzania,1998,41474,1990s
Tanzania,1999,54265,1990s
Tanzania,2000,52812,2000s
Tanzania,2001,70769,2000s
Tanzania,2002,78432,2000s
Tanzania,2003,72269,2000s
Tanzania,2004,81379,2000s
Tanzania,2005,72566,2000s
Tanzania,2006,72074,2000s
Tanzania,2007,83232,2000s
Tanzania,2008,85188,2000s
Tanzania,2009,102873,2000s
Tanzania,2010,128284,2010s
Tanzania,2011,155616,2010s
Tanzania,2012,158344,2010s
Tanzania,2013,100659,2010s
Tanzania,2014,95575,2010s
Tanzania,2015,110703,2010s
Zanzibar,1950,4421,1960s
Zanzibar,1951,4667,1960s
Zanzibar,1952,5491,1960s
Zanzibar,1953,5174,1960s
Zanzibar,1954,5124,1960s
Zanzibar,1955,6479,1960s
Zanzibar,1956,7339,1960s
Zanzibar,1957,6896,1960s
Zanzibar,1958,10609,1960s
Zanzibar,1959,8823,1960s
Zanzibar,1960,9366,1960s
Zanzibar,1961,11589,1960s
Zanzibar,1962,8610,1960s
Zanzibar,1963,14226,1960s
Zanzibar,1964,15959,1960s
Zanzibar,1965,15523,1960s
Zanzibar,1966,17688,1960s
Zanzibar,1967,16043,1960s
Zanzibar,1968,15733,1960s
Zanzibar,1969,17419,1960s
Zanzibar,1970,19548,1970s
Zanzibar,1971,14655,1970s
Zanzibar,1972,14596,1970s
Zanzibar,1973,17308,1970s
Zanzibar,1974,17903,1970s
Zanzibar,1975,28840,1970s
Zanzibar,1976,16550,1970s
Zanzibar,1977,27145,1970s
Zanzibar,1978,34533,1970s
Zanzibar,1979,27893,1970s
Zanzibar,1980,23977,1980s
Zanzibar,1981,14463,1980s
Zanzibar,1982,16184,1980s
Zanzibar,1983,14460,1980s
Zanzibar,1984,8053,1980s
Zanzibar,1985,5742,1980s
Zanzibar,1986,13138,1980s
Zanzibar,1987,15895,1980s
Zanzibar,1988,21771,1980s
Zanzibar,1989,25223,1980s
Zanzibar,1990,19141,1990s
Zanzibar,1991,48568,1990s
Zanzibar,1992,48606,1990s
Zanzibar,1993,11450,1990s
Zanzibar,1994,9698,1990s
Zanzibar,1995,21136,1990s
Zanzibar,1996,92918,1990s
Zanzibar,1997,61104,1990s
Zanzibar,1998,54155,1990s
Zanzibar,1999,57187,1990s
Zanzibar,2000,59879,2000s
Zanzibar,2001,41227,2000s
Zanzibar,2002,54959,2000s
Zanzibar,2003,39778,2000s
Zanzibar,2004,43853,2000s
Zanzibar,2005,49569,2000s
Zanzibar,2006,53018,2000s
Zanzibar,2007,84380,2000s
Zanzibar,2008,81242,2000s
Zanzibar,2009,85324,2000s
Zanzibar,2010,59016,2010s
Zanzibar,2011,54512,2010s
Zanzibar,2012,55187,2010s
Zanzibar,2013,51575,2010s
Zanzibar,2014,40519,2010s
Zanzibar,2015,45972,2010s
Seychelles,1950,43146,1960s
Seychelles,1951,50135,1960s
Seychelles,1952,50186,1960s
Seychelles,1953,45151,1960s
Seychelles,1954,50338,1960s
Seychelles,1955,47183,1960s
Seychelles,1956,68803,1960s
Seychelles,1957,60028,1960s
Seychelles,1958,50268,1960s
Seychelles,1959,55938,1960s
Seychelles,1960,62832,1960s
Seychelles,1961,51921,1960s
Seychelles,1962,62917,1960s
Seychelles,1963,56403,1960s
Seychelles,1964,60189,1960s
Seychelles,1965,73906,1960s
Seychelles,1966,83813,1960s
Seychelles,1967,94798,1960s
Seychelles,1968,54996,1960s
Seychelles,1969,93603,1960s
Seychelles,1970,107615,1970s
Seychelles,1971,125293,1970s
Seychelles,1972,147984,1970s
Seychelles,1973,177355,1970s
Seychelles,1974,229727,1970s
Seychelles,1975,210599,1970s
Seychelles,1976,204845,1970s
Seychelles,1977,309486,1970s
Seychelles,1978,448597,1970s
Seychelles,1979,541811,1970s
Seychelles,1980,486018,1980s
Seychelles,1981,503483,1980s
Seychelles,1982,459543,1980s
Seychelles,1983,404028,1980s
Seychelles,1984,398726,1980s
Seychelles,1985,386192,1980s
Seychelles,1986,340905,1980s
Seychelles,1987,409374,1980s
Seychelles,1988,365931,1980s
Seychelles,1989,372551,1980s
Seychelles,1990,347870,1990s
Seychelles,1991,352662,1990s
Seychelles,1992,378091,1990s
Seychelles,1993,410272,1990s
Seychelles,1994,443122,1990s
Seychelles,1995,388736,1990s
Seychelles,1996,299028,1990s
Seychelles,1997,302014,1990s
Seychelles,1998,328168,1990s
Seychelles,1999,300504,1990s
Seychelles,2000,343195,2000s
Seychelles,2001,348010,2000s
Seychelles,2002,324616,2000s
Seychelles,2003,326993,2000s
Seychelles,2004,310695,2000s
Seychelles,2005,272718,2000s
Seychelles,2006,242380,2000s
Seychelles,2007,269626,2000s
Seychelles,2008,256728,2000s
Seychelles,2009,322791,2000s
Seychelles,2010,288647,2010s
Seychelles,2011,261518,2010s
Seychelles,2012,245198,2010s
Seychelles,2013,260356,2010s
Seychelles,2014,376553,2010s
Seychelles,2015,325291,2010s
South Africa,1950,273322,1960s
South Africa,1951,303410,1960s
South Africa,1952,317501,1960s
South Africa,1953,280004,1960s
South Africa,1954,241965,1960s
South Africa,1955,264007,1960s
South Africa,1956,287443,1960s
South Africa,1957,436402,1960s
South Africa,1958,465141,1960s
South Africa,1959,378022,1960s
South Africa,1960,357283,1960s
South Africa,1961,460169,1960s
South Africa,1962,505467,1960s
South Africa,1963,594107,1960s
South Africa,1964,647286,1960s
South Africa,1965,510043,1960s
South Africa,1966,555864,1960s
South Africa,1967,603311,1960s
South Africa,1968,799862,1960s
South Africa,1969,891915,1960s
South Africa,1970,1032702,1970s
South Africa,1971,989404,1970s
South Africa,1972,845835,1970s
South Africa,1973,932072,1970s
South Africa,1974,952620,1970s
South Africa,1975,1024514,1970s
South Africa,1976,967743,1970s
South Africa,1977,1185611,1970s
South Africa,1978,1126495,1970s
South Africa,1979,1196774,1970s
South Africa,1980,1123199,1980s
South Africa,1981,1659495,1980s
South Africa,1982,2155428,1980s
South Africa,1983,1540841,1980s
South Africa,1984,2114003,1980s
South Africa,1985,2134441,1980s
South Africa,1986,1909126,1980s
South Africa,1987,2554046,1980s
South Africa,1988,2866032,1980s
South Africa,1989,3073864,1980s
South Africa,1990,3122042,1990s
South Africa,1991,3656577,1990s
South Africa,1992,3878960,1990s
South Africa,1993,3939550,1990s
South Africa,1994,4736082,1990s
South Africa,1995,5163429,1990s
South Africa,1996,4733953,1990s
South Africa,1997,3713416,1990s
South Africa,1998,2387853,1990s
South Africa,1999,1975419,1990s
South Africa,2000,1996357,2000s
South Africa,2001,2377605,2000s
South Africa,2002,2291631,2000s
South Africa,2003,2253474,2000s
South Africa,2004,2339608,2000s
South Africa,2005,2458318,2000s
South Africa,2006,2363767.72,2000s
South Africa,2007,2365705.45,2000s
South Africa,2008,1802897.71,2000s
South Africa,2009,1682112.26,2000s
South Africa,2010,1230312,2010s
South Africa,2011,981593.61,2010s
South Africa,2012,996775.19,2010s
South Africa,2013,1005437.22,2010s
South Africa,2014,1065945.5,2010s
South Africa,2015,1086810.39,2010s
Mozambique,1950,1000,1960s
Mozambique,1951,1000,1960s
Mozambique,1952,1000,1960s
Mozambique,1953,1000,1960s
Mozambique,1954,2000,1960s
Mozambique,1955,2100,1960s
Mozambique,1956,2100,1960s
Mozambique,1957,2000,1960s
Mozambique,1958,1900,1960s
Mozambique,1959,2300,1960s
Mozambique,1960,2000,1960s
Mozambique,1961,2300,1960s
Mozambique,1962,2600,1960s
Mozambique,1963,1000,1960s
Mozambique,1964,600,1960s
Mozambique,1965,1000,1960s
Mozambique,1966,1200,1960s
Mozambique,1967,1500,1960s
Mozambique,1968,1500,1960s
Mozambique,1969,4600,1960s
Mozambique,1970,5434,1970s
Mozambique,1971,6510,1970s
Mozambique,1972,8533,1970s
Mozambique,1973,8338,1970s
Mozambique,1974,8533,1970s
Mozambique,1975,6863,1970s
Mozambique,1976,7476,1970s
Mozambique,1977,5616,1970s
Mozambique,1978,5544,1970s
Mozambique,1979,4942,1970s
Mozambique,1980,4065,1980s
Mozambique,1981,3561,1980s
Mozambique,1982,3851,1980s
Mozambique,1983,5378,1980s
Mozambique,1984,3270,1980s
Mozambique,1985,4170,1980s
Mozambique,1986,4775,1980s
Mozambique,1987,5973,1980s
Mozambique,1988,6361,1980s
Mozambique,1989,5870,1980s
Mozambique,1990,4480,1990s
Mozambique,1991,3538,1990s
Mozambique,1992,2881,1990s
Mozambique,1993,4133,1990s
Mozambique,1994,3868,1990s
Mozambique,1995,10398,1990s
Mozambique,1996,7265,1990s
Mozambique,1997,9637,1990s
Mozambique,1998,13493,1990s
Mozambique,1999,11679,1990s
Mozambique,2000,15413,2000s
Mozambique,2001,7645,2000s
Mozambique,2002,11730,2000s
Mozambique,2003,13977,2000s
Mozambique,2004,11581,2000s
Mozambique,2005,15292,2000s
Mozambique,2006,35317,2000s
Mozambique,2007,42322,2000s
Mozambique,2008,30652,2000s
Mozambique,2009,32096,2000s
Mozambique,2010,25910,2010s
Mozambique,2011,43769,2010s
Mozambique,2012,18584,2010s
Mozambique,2013,12599,2010s
