site,INT,NE,SE
Voi,164,174,179
Mombasa,115,175,175
Voi,160,175,171
Mombasa,184,142,164
Voi,123,178,170
Mombasa,132,170,158
Voi,175,187,163
Mombasa,115,183,161
Voi,100,176,202
Mombasa,117,170,182
Voi,128,177,183
Mombasa,135,178,193
Voi,190,178,177
Mombasa,166,185,185
Voi,167,186,181
Mombasa,165,163,156
Voi,195,188,164
Mombasa,171,173,184
Voi,115,183,162
Mombasa,143,171,180
Voi,180,172,181
Mombasa,120,168,177
Voi,186,193,179
Mombasa,175,145,195
Voi,222,180,184
Mombasa,110,181,181
Voi,162,184,163
Mombasa,165,181,193
Voi,172,182,190
Mombasa,168,146,177
Voi,179,169,178
Mombasa,140,187,178
Voi,102,172,183
Mombasa,110,180,168
Voi,125,182,194
Mombasa,194,171,174
Voi,175,176,178
Mombasa,127,198,207
Voi,197,176,179
Mombasa,109,154,161
Voi,182,179,155
Mombasa,166,176,142
Voi,113,184,190
Mombasa,109,175,192
Voi,180,167,162
Mombasa,127,175,184
Voi,185,152,195
Mombasa,220,170,150
Voi,173,176,172
Mombasa,185,171,175
Voi,152,177,187
Mombasa,164,185,187
Voi,121,177,179
Mombasa,160,176,187
Voi,188,162,173
Mombasa,173,164,195
Voi,185,197,191
Mombasa,163,164,189
Voi,134,179,187
Mombasa,120,157,196
Voi,179,175,177
Mombasa,178,177,180
Voi,179,141,181
Mombasa,190,174,156
Voi,115,185,174
Mombasa,180,175,189
Voi,117,165,180
Mombasa,190,171,157
Voi,114,198,159
Mombasa,178,175,177
Voi,165,184,169
Mombasa,198,177,172
Voi,165,141,161
Mombasa,108,187,181
Voi,162,175,176
Mombasa,121,155,164
Voi,164,140,160
Mombasa,202,151,186
Voi,119,170,205
Mombasa,162,176,191
Voi,183,184,169
Mombasa,120,168,167
Voi,168,173,185
Mombasa,170,136,172
Voi,172,177,185
Mombasa,180,177,169
Voi,194,178,156
Mombasa,186,190,173
Voi,183,146,183
Mombasa,170,174,190
Voi,180,187,192
Mombasa,167,182,177
Voi,169,155,178
Mombasa,195,164,181
Voi,187,169,189
Mombasa,141,159,183
Voi,174,181,179
Mombasa,170,172,174
Voi,176,178,160
Mombasa,178,170,185
Voi,160,165,159
Mombasa,166,171,188
Voi,172,166,173
Mombasa,221,162,171
Voi,125,186,158
Mombasa,171,178,148
Voi,165,178,198
Mombasa,194,177,168
Voi,135,175,193
Mombasa,112,178,191
Voi,182,151,167
Mombasa,123,173,132
Voi,162,147,192
Mombasa,117,183,190
Voi,165,186,156
Mombasa,165,163,176
Voi,123,162,185
Mombasa,120,178,175
Voi,205,175,153
Mombasa,127,182,189
Voi,193,180,161
Mombasa,163,180,179
Voi,175,202,176
Mombasa,126,174,187
Voi,167,180,173
Mombasa,164,177,187
Voi,160,171,175
Mombasa,175,179,172
Voi,178,156,139
Mombasa,109,144,170
Voi,180,180,166
Mombasa,170,195,183
Voi,190,193,195
Mombasa,182,184,180
Voi,169,155,177
Mombasa,125,168,170
Voi,109,155,176
Mombasa,130,164,164
Voi,98,173,177
Mombasa,107,141,179
Voi,193,157,176
Mombasa,164,196,174
Voi,165,190,171
Mombasa,177,181,174
Voi,193,175,184
Mombasa,169,191,181
Voi,182,163,164
Mombasa,172,148,221
Voi,178,158,190
Mombasa,127,193,207
Voi,121,172,182
Mombasa,165,172,177
Voi,117,181,177
Mombasa,179,152,167
Voi,170,189,208
Mombasa,126,178,187
Voi,183,178,184
Mombasa,107,180,150
Voi,162,171,168
Mombasa,190,210,175
Voi,120,161,165
Mombasa,167,197,159
Voi,176,171,157
Mombasa,184,179,185
Voi,171,173,168
Mombasa,194,170,163
Voi,189,173,104
Mombasa,170,181,186
Voi,179,183,169
Mombasa,138,186,149
Voi,175,185,166
Mombasa,122,175,172
Voi,172,172,190
Mombasa,116,176,165
Voi,154,168,165
Mombasa,125,188,177
Voi,153,153,200
Mombasa,174,180,188
Voi,172,186,181
Mombasa,131,172,173
Voi,117,166,192
Mombasa,131,156,173
Voi,125,173,170
Mombasa,175,163,179
Voi,170,178,156
Mombasa,184,168,169
Voi,174,172,175
Mombasa,178,187,173
Voi,175,176,193
Mombasa,182,165,188
Voi,167,190,166
Mombasa,114,162,160
Voi,117,175,183
Mombasa,186,187,173
Voi,108,160,180
Mombasa,137,178,165
Voi,177,160,185
Mombasa,175,162,179
Voi,191,186,180
Mombasa,170,170,182
Voi,188,156,193
Mombasa,169,176,202
Voi,163,169,123
Mombasa,170,175,189
Voi,190,151,181
Mombasa,112,184,185
Voi,165,170,189
Mombasa,184,179,173
Voi,161,196,177
Mombasa,182,177,170
Voi,118,181,165
Mombasa,159,173,177
Voi,191,179,161
Mombasa,179,184,175
Voi,115,180,186
Mombasa,172,187,190
Voi,163,166,192
Mombasa,175,178,174
Voi,176,190,174
Mombasa,110,178,202
Voi,161,144,178
Mombasa,187,167,197
Voi,178,162,193
Mombasa,111,159,175
Voi,163,156,193
Mombasa,186,168,173
Voi,123,165,188
Mombasa,173,167,180
Voi,185,175,160
Mombasa,117,173,178
Voi,188,181,175
Mombasa,180,196,149
Voi,178,178,196
Mombasa,179,173,163
Voi,169,137,176
Mombasa,178,187,170
Voi,125,169,190
Mombasa,119,179,166
Voi,159,180,173
Mombasa,186,168,193
Voi,111,187,193
Mombasa,183,182,185
Voi,136,174,164
Mombasa,176,169,155
Voi,194,172,195
Mombasa,120,182,157
Voi,132,191,196
Mombasa,125,161,158
Voi,120,180,185
Mombasa,200,178,163
Voi,166,183,166
Mombasa,180,170,188
Voi,189,173,189
Mombasa,166,175,168
Voi,179,171,157
Mombasa,175,175,148
Voi,127,175,193
Mombasa,130,178,187
Voi,160,169,165
Mombasa,172,185,162
Voi,166,161,195
Mombasa,196,193,190
Voi,169,165,159
Mombasa,175,170,206
Voi,174,184,168
Mombasa,163,179,167
Voi,160,162,185
Mombasa,173,180,203
Voi,122,187,178
Mombasa,170,162,147
Voi,130,172,172
Mombasa,121,166,184
Voi,172,175,173
Mombasa,173,149,152
Voi,115,186,152
Mombasa,123,150,169
Voi,179,178,205
Mombasa,189,187,181
Voi,163,170,170
Mombasa,191,166,185
Voi,123,178,170
Mombasa,135,158,155
Voi,171,184,195
Mombasa,177,174,157
Voi,174,176,189
Mombasa,131,132,174
Voi,178,168,178
Mombasa,130,168,184
Voi,189,169,158
Mombasa,165,168,195
Voi,178,173,165
Mombasa,186,173,165
Voi,128,193,170
Mombasa,127,180,174
Voi,163,163,151
Mombasa,126,157,161
Voi,171,169,175
Mombasa,104,181,183
Voi,171,179,130
Mombasa,183,180,170
Voi,180,173,181
Mombasa,177,162,171
Voi,112,172,182
Mombasa,177,156,188
Voi,170,171,187
Mombasa,125,181,166
Voi,156,177,152
Mombasa,130,190,184
Voi,187,167,184
Mombasa,175,183,181
Voi,133,174,165
Mombasa,178,177,182
Voi,121,178,186
Mombasa,117,150,173
Voi,157,154,164
Mombasa,165,164,172
Voi,162,182,175
Mombasa,176,165,186
Voi,195,167,180
Mombasa,121,170,150
Voi,107,176,183
Mombasa,178,179,191
Voi,153,166,160
Mombasa,184,165,169
Voi,190,188,190
Mombasa,115,176,189
Voi,117,180,172
Mombasa,187,186,183
Voi,112,179,187
Mombasa,174,167,183
Voi,194,171,195
Mombasa,164,159,199
Voi,123,183,165
Mombasa,191,180,178
Voi,194,178,181
Mombasa,170,175,170
Voi,194,152,168
Mombasa,115,166,190
Voi,127,163,175
Mombasa,212,161,182
Voi,181,175,188
Mombasa,173,167,153
Voi,174,159,152
Mombasa,108,171,170
Voi,182,181,184
Mombasa,142,161,204
Voi,184,174,163
Mombasa,124,176,161
Voi,162,144,170
Mombasa,177,180,160
Voi,166,176,174
Mombasa,185,172,187
Voi,180,166,177
Mombasa,172,179,170
Voi,178,182,185
Mombasa,120,173,180
Voi,111,156,158
Mombasa,161,193,192
Voi,175,176,180
Mombasa,174,170,172
Voi,132,175,185
Mombasa,134,159,167
