country,date,station,tl_cm,wt_g,sex,maturity,year,month,quarter
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),42.3,900,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),40,800,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),39.5,750,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),41,850,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),42.1,900,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),42.7,850,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),46,1100,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Mwena(Speke gulf),39,700,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,53.5,2000,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,47,1300,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,46,1150,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,54.6,2050,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,47,1350,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,49.5,1400,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,48,1400,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,45,1100,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,50,1550,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,47.4,1400,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,47.2,1250,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,45.3,1150,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,45,1200,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,51,1800,F,II,2008,Aug,3
Tanzania,2008-08-08T00:00:00Z,Augustus,46,1250,F,II,2008,Aug,3
Tanzania,2008-10-08T00:00:00Z,Juma island,52,1700,F,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Juma island,50.9,1500,F,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Juma island,50.5,1500,F,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Juma island,40,850,F,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,47,1250,F,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,45.5,1200,F,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,43,950,F,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,40,900,F,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,41.2,800,F,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,48.5,1400,F,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,45,1100,F,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,39.5,750,F,II,2008,Oct,4
Tanzania,2008-10-08T00:00:00Z,Nyakanyasi,39,800,F,II,2008,Oct,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),47.2,1400,F,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),40,950,F,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),42,850,F,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),46,1300,F,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),43,1100,F,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),39.6,850,F,II,2008,Nov,4
Tanzania,2008-11-08T00:00:00Z,Ruti island(Rocks|),42.5,1000,F,II,2008,Nov,4
