year,season,tide,species,wt_gm,tl_mm
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,27
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,18
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,27
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,19
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,19
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,27
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,27
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,19
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,27
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,27
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,19
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,19
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,26
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,27
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,19
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,25
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,18
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,21
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,18
2008,WET,STF,Pen.fen,2,24
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Pen.fen,2,23
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,18
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,17
2008,WET,STF,Pen.fen,2,17
2008,WET,STF,Pen.fen,2,20
2008,WET,STF,Pen.fen,2,22
2008,WET,STF,Metapenaeus monodon,2,21
2008,WET,STF,Metapenaeus monodon,2,20
2008,WET,STF,Metapenaeus monodon,2,19
2008,WET,STF,Metapenaeus monodon,2,30
2008,WET,STF,Metapenaeus monodon,2,29
2008,WET,STF,Metapenaeus monodon,2,26
2008,WET,STF,Metapenaeus monodon,2,26
2008,WET,STF,Metapenaeus monodon,2,24
2008,WET,STF,Metapenaeus monodon,2,20
2008,WET,STF,Metapenaeus monodon,2,11
2008,WET,STF,Metapenaeus monodon,2,23
2008,WET,STF,Metapenaeus monodon,2,19
2008,WET,STF,Metapenaeus monodon,2,24
2008,WET,STF,Metapenaeus monodon,2,27
2008,WET,STF,Metapenaeus monodon,2,21
2008,WET,STF,Metapenaeus monodon,2,20
2008,WET,STF,Metapenaeus monodon,2,21
2008,WET,STF,Metapenaeus monodon,2,22
2008,WET,STF,Metapenaeus monodon,2,21
2008,WET,STF,Metapenaeus monodon,2,22
2008,WET,STF,Metapenaeus monodon,2,22
2008,WET,STF,Metapenaeus monodon,2,19
2008,WET,STF,Metapenaeus monodon,2,19
2008,WET,STF,Metapenaeus monodon,2,15
2008,WET,STF,Penaeus monodon,2,40
2008,WET,STF,Penaeus monodon,2,35
2008,WET,STF,Penaeus monodon,2,26
2008,WET,STF,Penaeus monodon,2,33
2008,WET,STF,Penaeus monodon,2,31
2008,WET,STF,Penaeus monodon,2,24
2008,WET,STF,Penaeus monodon,2,29
2008,WET,STF,Penaeus monodon,0.65,69
2008,WET,STF,Penaeus monodon,0.65,43
2008,WET,STF,Penaeus monodon,0.65,42
2008,WET,STF,Penaeus monodon,0.65,48
2008,WET,STF,Penaeus monodon,0.65,41
2008,WET,STF,Penaeus monodon,0.65,37
2008,WET,STF,Penaeus monodon,0.65,52
2008,WET,STF,Penaeus monodon,0.65,46
2008,WET,STF,Penaeus monodon,0.65,38
2008,WET,STF,Penaeus monodon,0.65,36
2008,WET,STF,Penaeus monodon,0.65,42
2008,WET,STF,Penaeus monodon,0.65,27
2008,WET,STF,Penaeus monodon,0.65,31
